abs,date,rate,type,state
245,2005-01-01,9.5,infant,Pahang
217,2006-01-01,8.7,infant,Pahang
201,2007-01-01,8.1,infant,Pahang
197,2008-01-01,7.7,infant,Pahang
229,2009-01-01,8.8,infant,Pahang
197,2010-01-01,7.6,infant,Pahang
256,2011-01-01,9.5,infant,Pahang
219,2012-01-01,8.0,infant,Pahang
253,2013-01-01,9.4,infant,Pahang
213,2014-01-01,7.4,infant,Pahang
216,2015-01-01,7.7,infant,Pahang
204,2016-01-01,7.4,infant,Pahang
205,2017-01-01,7.4,infant,Pahang
197,2018-01-01,7.3,infant,Pahang
187,2019-01-01,7.2,infant,Pahang
148,2020-01-01,5.8,infant,Pahang
148,2021-01-01,6.0,infant,Pahang
164,2022-01-01,7.0,infant,Pahang
198,2023-01-01,8.2,infant,Pahang
347,2000-01-01,7.1,infant,Perak
282,2001-01-01,6.5,infant,Perak
302,2002-01-01,7.1,infant,Perak
270,2003-01-01,6.8,infant,Perak
301,2004-01-01,7.7,infant,Perak
277,2005-01-01,7.4,infant,Perak
216,2006-01-01,5.9,infant,Perak
253,2007-01-01,6.9,infant,Perak
232,2008-01-01,6.2,infant,Perak
269,2009-01-01,7.2,infant,Perak
289,2010-01-01,8.0,infant,Perak
233,2011-01-01,6.2,infant,Perak
249,2012-01-01,6.6,infant,Perak
237,2013-01-01,6.7,infant,Perak
227,2014-01-01,6.2,infant,Perak
234,2015-01-01,6.4,infant,Perak
245,2016-01-01,6.9,infant,Perak
242,2017-01-01,6.9,infant,Perak
223,2018-01-01,6.6,infant,Perak
231,2019-01-01,7.0,infant,Perak
203,2020-01-01,6.4,infant,Perak
192,2021-01-01,6.2,infant,Perak
216,2022-01-01,7.3,infant,Perak
220,2023-01-01,7.2,infant,Perak
41,2000-01-01,8.8,infant,Perlis
34,2001-01-01,7.8,infant,Perlis
34,2002-01-01,8.0,infant,Perlis
32,2003-01-01,7.9,infant,Perlis
27,2004-01-01,6.8,infant,Perlis
31,2005-01-01,7.9,infant,Perlis
31,2006-01-01,8.0,infant,Perlis
29,2007-01-01,7.3,infant,Perlis
34,2008-01-01,8.1,infant,Perlis
32,2009-01-01,7.6,infant,Perlis
33,2010-01-01,8.0,infant,Perlis
40,2011-01-01,9.6,infant,Perlis
27,2012-01-01,6.5,infant,Perlis
36,2013-01-01,8.9,infant,Perlis
34,2014-01-01,7.5,infant,Perlis
35,2015-01-01,8.1,infant,Perlis
26,2016-01-01,5.9,infant,Perlis
25,2017-01-01,5.6,infant,Perlis
39,2018-01-01,8.9,infant,Perlis
24,2019-01-01,5.9,infant,Perlis
35,2020-01-01,8.5,infant,Perlis
31,2021-01-01,7.6,infant,Perlis
35,2022-01-01,9.3,infant,Perlis
24,2023-01-01,6.2,infant,Perlis
192,2000-01-01,7.0,infant,Pulau Pinang
160,2001-01-01,6.5,infant,Pulau Pinang
200,2002-01-01,8.1,infant,Pulau Pinang
149,2003-01-01,6.3,infant,Pulau Pinang
185,2004-01-01,8.1,infant,Pulau Pinang
144,2005-01-01,6.4,infant,Pulau Pinang
163,2006-01-01,7.4,infant,Pulau Pinang
129,2007-01-01,5.8,infant,Pulau Pinang
137,2008-01-01,6.0,infant,Pulau Pinang
145,2009-01-01,6.4,infant,Pulau Pinang
145,2010-01-01,6.8,infant,Pulau Pinang
161,2011-01-01,7.2,infant,Pulau Pinang
156,2012-01-01,6.6,infant,Pulau Pinang
130,2013-01-01,6.0,infant,Pulau Pinang
128,2014-01-01,5.6,infant,Pulau Pinang
140,2015-01-01,6.3,infant,Pulau Pinang
141,2016-01-01,6.5,infant,Pulau Pinang
125,2017-01-01,5.8,infant,Pulau Pinang
133,2018-01-01,6.4,infant,Pulau Pinang
112,2019-01-01,5.5,infant,Pulau Pinang
102,2020-01-01,5.2,infant,Pulau Pinang
100,2021-01-01,5.4,infant,Pulau Pinang
102,2022-01-01,5.8,infant,Pulau Pinang
110,2023-01-01,5.6,infant,Pulau Pinang
34,2000-01-01,0.7,infant,Sabah
85,2001-01-01,1.7,infant,Sabah
114,2002-01-01,2.5,infant,Sabah
105,2003-01-01,2.4,infant,Sabah
105,2004-01-01,2.3,infant,Sabah
128,2005-01-01,2.7,infant,Sabah
111,2006-01-01,2.4,infant,Sabah
135,2007-01-01,2.9,infant,Sabah
189,2008-01-01,3.8,infant,Sabah
211,2009-01-01,4.0,infant,Sabah
225,2010-01-01,4.2,infant,Sabah
209,2011-01-01,3.8,infant,Sabah
191,2012-01-01,3.3,infant,Sabah
206,2013-01-01,3.6,infant,Sabah
576,2014-01-01,10.0,infant,Sabah
614,2015-01-01,11.2,infant,Sabah
298,2016-01-01,5.7,infant,Sabah
502,2017-01-01,9.6,infant,Sabah
534,2018-01-01,10.1,infant,Sabah
401,2019-01-01,7.6,infant,Sabah
471,2020-01-01,9.5,infant,Sabah
374,2021-01-01,9.0,infant,Sabah
392,2022-01-01,9.0,infant,Sabah
382,2023-01-01,8.2,infant,Sabah
248,2000-01-01,5.2,infant,Sarawak
251,2001-01-01,5.4,infant,Sarawak
256,2002-01-01,5.7,infant,Sarawak
249,2003-01-01,5.7,infant,Sarawak
237,2004-01-01,5.4,infant,Sarawak
265,2005-01-01,6.1,infant,Sarawak
291,2006-01-01,6.8,infant,Sarawak
275,2007-01-01,6.5,infant,Sarawak
272,2008-01-01,6.3,infant,Sarawak
325,2009-01-01,7.4,infant,Sarawak
281,2010-01-01,6.8,infant,Sarawak
281,2011-01-01,6.5,infant,Sarawak
275,2012-01-01,6.4,infant,Sarawak
230,2013-01-01,5.7,infant,Sarawak
236,2014-01-01,5.7,infant,Sarawak
223,2015-01-01,5.6,infant,Sarawak
229,2016-01-01,6.0,infant,Sarawak
238,2017-01-01,6.3,infant,Sarawak
262,2018-01-01,7.2,infant,Sarawak
211,2019-01-01,5.8,infant,Sarawak
204,2020-01-01,5.8,infant,Sarawak
152,2021-01-01,4.9,infant,Sarawak
183,2022-01-01,5.9,infant,Sarawak
217,2023-01-01,6.4,infant,Sarawak
473,2000-01-01,5.2,infant,Selangor
454,2001-01-01,5.2,infant,Selangor
534,2002-01-01,6.0,infant,Selangor
537,2003-01-01,6.0,infant,Selangor
527,2004-01-01,5.7,infant,Selangor
491,2005-01-01,5.3,infant,Selangor
475,2006-01-01,5.0,infant,Selangor
511,2007-01-01,5.3,infant,Selangor
541,2008-01-01,5.4,infant,Selangor
607,2009-01-01,5.9,infant,Selangor
557,2010-01-01,5.7,infant,Selangor
580,2011-01-01,5.6,infant,Selangor
570,2012-01-01,5.3,infant,Selangor
624,2013-01-01,6.0,infant,Selangor
573,2014-01-01,5.3,infant,Selangor
572,2015-01-01,5.3,infant,Selangor
643,2016-01-01,6.1,infant,Selangor
620,2017-01-01,6.0,infant,Selangor
662,2018-01-01,6.5,infant,Selangor
596,2019-01-01,6.0,infant,Selangor
427,2020-01-01,4.6,infant,Selangor
402,2021-01-01,4.5,infant,Selangor
495,2022-01-01,5.9,infant,Selangor
558,2023-01-01,6.2,infant,Selangor
179,2000-01-01,7.2,infant,Terengganu
226,2001-01-01,9.4,infant,Terengganu
233,2002-01-01,10.0,infant,Terengganu
194,2003-01-01,8.7,infant,Terengganu
218,2004-01-01,9.7,infant,Terengganu
227,2005-01-01,10.3,infant,Terengganu
217,2006-01-01,9.9,infant,Terengganu
226,2007-01-01,10.1,infant,Terengganu
219,2008-01-01,9.4,infant,Terengganu
207,2009-01-01,8.7,infant,Terengganu
202,2010-01-01,8.3,infant,Terengganu
220,2011-01-01,8.9,infant,Terengganu
196,2012-01-01,7.6,infant,Terengganu
231,2013-01-01,9.1,infant,Terengganu
213,2014-01-01,7.9,infant,Terengganu
218,2015-01-01,7.9,infant,Terengganu
199,2016-01-01,7.2,infant,Terengganu
173,2017-01-01,6.2,infant,Terengganu
173,2018-01-01,6.1,infant,Terengganu
198,2019-01-01,7.3,infant,Terengganu
157,2020-01-01,5.8,infant,Terengganu
167,2021-01-01,6.3,infant,Terengganu
167,2022-01-01,6.6,infant,Terengganu
202,2023-01-01,7.7,infant,Terengganu
161,2000-01-01,5.5,infant,W.P. Kuala Lumpur
181,2001-01-01,6.7,infant,W.P. Kuala Lumpur
184,2002-01-01,7.1,infant,W.P. Kuala Lumpur
135,2003-01-01,5.4,infant,W.P. Kuala Lumpur
120,2004-01-01,4.8,infant,W.P. Kuala Lumpur
121,2005-01-01,5.1,infant,W.P. Kuala Lumpur
128,2006-01-01,5.3,infant,W.P. Kuala Lumpur
153,2007-01-01,6.1,infant,W.P. Kuala Lumpur
124,2008-01-01,4.9,infant,W.P. Kuala Lumpur
139,2009-01-01,5.4,infant,W.P. Kuala Lumpur
135,2010-01-01,5.5,infant,W.P. Kuala Lumpur
163,2011-01-01,6.4,infant,W.P. Kuala Lumpur
126,2012-01-01,4.7,infant,W.P. Kuala Lumpur
123,2013-01-01,4.9,infant,W.P. Kuala Lumpur
167,2014-01-01,6.2,infant,W.P. Kuala Lumpur
140,2015-01-01,5.4,infant,W.P. Kuala Lumpur
159,2016-01-01,6.2,infant,W.P. Kuala Lumpur
160,2017-01-01,6.5,infant,W.P. Kuala Lumpur
150,2018-01-01,6.2,infant,W.P. Kuala Lumpur
124,2019-01-01,5.2,infant,W.P. Kuala Lumpur
92,2020-01-01,4.0,infant,W.P. Kuala Lumpur
116,2021-01-01,5.5,infant,W.P. Kuala Lumpur
122,2022-01-01,6.1,infant,W.P. Kuala Lumpur
112,2023-01-01,5.2,infant,W.P. Kuala Lumpur
8,2000-01-01,5.4,infant,W.P. Labuan
5,2001-01-01,3.4,infant,W.P. Labuan
19,2002-01-01,13.0,infant,W.P. Labuan
12,2003-01-01,7.6,infant,W.P. Labuan
12,2004-01-01,7.9,infant,W.P. Labuan
15,2005-01-01,9.9,infant,W.P. Labuan
23,2006-01-01,14.5,infant,W.P. Labuan
17,2007-01-01,10.8,infant,W.P. Labuan
15,2008-01-01,8.9,infant,W.P. Labuan
16,2009-01-01,9.7,infant,W.P. Labuan
15,2010-01-01,9.2,infant,W.P. Labuan
14,2011-01-01,8.1,infant,W.P. Labuan
14,2012-01-01,7.9,infant,W.P. Labuan
13,2013-01-01,7.5,infant,W.P. Labuan
15,2014-01-01,8.0,infant,W.P. Labuan
18,2015-01-01,9.2,infant,W.P. Labuan
14,2016-01-01,8.0,infant,W.P. Labuan
12,2017-01-01,7.1,infant,W.P. Labuan
16,2018-01-01,9.5,infant,W.P. Labuan
12,2019-01-01,7.2,infant,W.P. Labuan
13,2020-01-01,7.6,infant,W.P. Labuan
9,2021-01-01,5.9,infant,W.P. Labuan
13,2022-01-01,9.5,infant,W.P. Labuan
10,2023-01-01,7.1,infant,W.P. Labuan
18,2010-01-01,7.4,infant,W.P. Putrajaya
25,2011-01-01,8.5,infant,W.P. Putrajaya
29,2012-01-01,9.2,infant,W.P. Putrajaya
31,2013-01-01,10.4,infant,W.P. Putrajaya
31,2014-01-01,10.1,infant,W.P. Putrajaya
22,2015-01-01,7.7,infant,W.P. Putrajaya
21,2016-01-01,8.2,infant,W.P. Putrajaya
21,2017-01-01,8.3,infant,W.P. Putrajaya
22,2018-01-01,9.2,infant,W.P. Putrajaya
20,2019-01-01,8.6,infant,W.P. Putrajaya
14,2020-01-01,6.5,infant,W.P. Putrajaya
13,2021-01-01,6.2,infant,W.P. Putrajaya
15,2022-01-01,8.2,infant,W.P. Putrajaya
24,2023-01-01,14.0,infant,W.P. Putrajaya
122,2000-01-01,0.5,toddler,Johor
122,2001-01-01,0.5,toddler,Johor
129,2002-01-01,0.5,toddler,Johor
117,2003-01-01,0.5,toddler,Johor
102,2004-01-01,0.4,toddler,Johor
97,2005-01-01,0.4,toddler,Johor
79,2006-01-01,0.3,toddler,Johor
74,2007-01-01,0.3,toddler,Johor
114,2008-01-01,0.5,toddler,Johor
77,2009-01-01,0.3,toddler,Johor
87,2010-01-01,0.4,toddler,Johor
82,2011-01-01,0.4,toddler,Johor
88,2012-01-01,0.4,toddler,Johor
78,2013-01-01,0.3,toddler,Johor
77,2014-01-01,0.3,toddler,Johor
77,2015-01-01,0.3,toddler,Johor
91,2016-01-01,0.4,toddler,Johor
90,2017-01-01,0.4,toddler,Johor
93,2018-01-01,0.4,toddler,Johor
87,2019-01-01,0.4,toddler,Johor
58,2020-01-01,0.2,toddler,Johor
59,2021-01-01,0.2,toddler,Johor
86,2022-01-01,0.4,toddler,Johor
71,2023-01-01,0.3,toddler,Johor
81,2000-01-01,0.5,toddler,Kedah
105,2001-01-01,0.6,toddler,Kedah
100,2002-01-01,0.6,toddler,Kedah
83,2003-01-01,0.5,toddler,Kedah
77,2004-01-01,0.5,toddler,Kedah
64,2005-01-01,0.4,toddler,Kedah
62,2006-01-01,0.4,toddler,Kedah
67,2007-01-01,0.5,toddler,Kedah
67,2008-01-01,0.5,toddler,Kedah
60,2009-01-01,0.4,toddler,Kedah
50,2010-01-01,0.4,toddler,Kedah
45,2011-01-01,0.3,toddler,Kedah
49,2012-01-01,0.3,toddler,Kedah
59,2013-01-01,0.4,toddler,Kedah
57,2014-01-01,0.4,toddler,Kedah
47,2015-01-01,0.3,toddler,Kedah
54,2016-01-01,0.4,toddler,Kedah
53,2017-01-01,0.4,toddler,Kedah
57,2018-01-01,0.4,toddler,Kedah
57,2019-01-01,0.4,toddler,Kedah
45,2020-01-01,0.3,toddler,Kedah
28,2021-01-01,0.2,toddler,Kedah
51,2022-01-01,0.4,toddler,Kedah
49,2023-01-01,0.4,toddler,Kedah
137,2000-01-01,0.8,toddler,Kelantan
132,2001-01-01,0.8,toddler,Kelantan
135,2002-01-01,0.8,toddler,Kelantan
125,2003-01-01,0.8,toddler,Kelantan
123,2004-01-01,0.8,toddler,Kelantan
125,2005-01-01,0.8,toddler,Kelantan
117,2006-01-01,0.8,toddler,Kelantan
108,2007-01-01,0.8,toddler,Kelantan
111,2008-01-01,0.8,toddler,Kelantan
97,2009-01-01,0.7,toddler,Kelantan
83,2010-01-01,0.6,toddler,Kelantan
73,2011-01-01,0.5,toddler,Kelantan
67,2012-01-01,0.5,toddler,Kelantan
69,2013-01-01,0.5,toddler,Kelantan
76,2014-01-01,0.5,toddler,Kelantan
54,2015-01-01,0.4,toddler,Kelantan
69,2016-01-01,0.4,toddler,Kelantan
61,2017-01-01,0.4,toddler,Kelantan
55,2018-01-01,0.3,toddler,Kelantan
65,2019-01-01,0.4,toddler,Kelantan
50,2020-01-01,0.4,toddler,Kelantan
36,2021-01-01,0.3,toddler,Kelantan
55,2022-01-01,0.4,toddler,Kelantan
57,2023-01-01,0.4,toddler,Kelantan
30,2000-01-01,0.5,toddler,Melaka
33,2001-01-01,0.5,toddler,Melaka
21,2002-01-01,0.3,toddler,Melaka
33,2003-01-01,0.5,toddler,Melaka
29,2004-01-01,0.5,toddler,Melaka
25,2005-01-01,0.4,toddler,Melaka
11,2006-01-01,0.2,toddler,Melaka
24,2007-01-01,0.4,toddler,Melaka
18,2008-01-01,0.3,toddler,Melaka
23,2009-01-01,0.4,toddler,Melaka
18,2010-01-01,0.3,toddler,Melaka
22,2011-01-01,0.4,toddler,Melaka
14,2012-01-01,0.3,toddler,Melaka
17,2013-01-01,0.3,toddler,Melaka
20,2014-01-01,0.4,toddler,Melaka
22,2015-01-01,0.4,toddler,Melaka
14,2016-01-01,0.2,toddler,Melaka
19,2017-01-01,0.3,toddler,Melaka
10,2018-01-01,0.2,toddler,Melaka
18,2019-01-01,0.3,toddler,Melaka
21,2020-01-01,0.3,toddler,Melaka
14,2021-01-01,0.2,toddler,Melaka
27,2022-01-01,0.4,toddler,Melaka
20,2023-01-01,0.4,toddler,Melaka
35,2000-01-01,0.5,toddler,Negeri Sembilan
42,2001-01-01,0.5,toddler,Negeri Sembilan
30,2002-01-01,0.4,toddler,Negeri Sembilan
33,2003-01-01,0.4,toddler,Negeri Sembilan
32,2004-01-01,0.4,toddler,Negeri Sembilan
25,2005-01-01,0.3,toddler,Negeri Sembilan
37,2006-01-01,0.5,toddler,Negeri Sembilan
31,2007-01-01,0.4,toddler,Negeri Sembilan
27,2008-01-01,0.4,toddler,Negeri Sembilan
23,2009-01-01,0.3,toddler,Negeri Sembilan
33,2010-01-01,0.5,toddler,Negeri Sembilan
24,2011-01-01,0.4,toddler,Negeri Sembilan
16,2012-01-01,0.2,toddler,Negeri Sembilan
28,2013-01-01,0.4,toddler,Negeri Sembilan
21,2014-01-01,0.3,toddler,Negeri Sembilan
26,2015-01-01,0.4,toddler,Negeri Sembilan
19,2016-01-01,0.3,toddler,Negeri Sembilan
31,2017-01-01,0.4,toddler,Negeri Sembilan
27,2018-01-01,0.4,toddler,Negeri Sembilan
26,2019-01-01,0.4,toddler,Negeri Sembilan
24,2020-01-01,0.3,toddler,Negeri Sembilan
14,2021-01-01,0.2,toddler,Negeri Sembilan
28,2022-01-01,0.4,toddler,Negeri Sembilan
33,2023-01-01,0.5,toddler,Negeri Sembilan
80,2000-01-01,0.7,toddler,Pahang
104,2001-01-01,0.9,toddler,Pahang
98,2002-01-01,0.8,toddler,Pahang
91,2003-01-01,0.8,toddler,Pahang
87,2004-01-01,0.8,toddler,Pahang
80,2005-01-01,0.7,toddler,Pahang
86,2006-01-01,0.8,toddler,Pahang
76,2007-01-01,0.7,toddler,Pahang
71,2008-01-01,0.6,toddler,Pahang
78,2009-01-01,0.7,toddler,Pahang
66,2010-01-01,0.6,toddler,Pahang
62,2011-01-01,0.5,toddler,Pahang
73,2012-01-01,0.6,toddler,Pahang
57,2013-01-01,0.5,toddler,Pahang
57,2014-01-01,0.5,toddler,Pahang
57,2015-01-01,0.5,toddler,Pahang
50,2016-01-01,0.4,toddler,Pahang
52,2017-01-01,0.5,toddler,Pahang
47,2018-01-01,0.4,toddler,Pahang
51,2019-01-01,0.5,toddler,Pahang
31,2020-01-01,0.3,toddler,Pahang
25,2021-01-01,0.2,toddler,Pahang
63,2022-01-01,0.6,toddler,Pahang
35,2023-01-01,0.4,toddler,Pahang
116,2000-01-01,0.6,toddler,Perak
111,2001-01-01,0.6,toddler,Perak
146,2002-01-01,0.7,toddler,Perak
121,2003-01-01,0.6,toddler,Perak
110,2004-01-01,0.6,toddler,Perak
109,2005-01-01,0.6,toddler,Perak
99,2006-01-01,0.6,toddler,Perak
94,2007-01-01,0.6,toddler,Perak
74,2008-01-01,0.5,toddler,Perak
118,2009-01-01,0.8,toddler,Perak
92,2010-01-01,0.6,toddler,Perak
73,2011-01-01,0.5,toddler,Perak
67,2012-01-01,0.5,toddler,Perak
83,2013-01-01,0.6,toddler,Perak
57,2014-01-01,0.4,toddler,Perak
61,2015-01-01,0.4,toddler,Perak
63,2016-01-01,0.4,toddler,Perak
54,2017-01-01,0.4,toddler,Perak
61,2018-01-01,0.4,toddler,Perak
63,2019-01-01,0.5,toddler,Perak
43,2020-01-01,0.3,toddler,Perak
28,2021-01-01,0.2,toddler,Perak
49,2022-01-01,0.4,toddler,Perak
40,2023-01-01,0.3,toddler,Perak
10,2000-01-01,0.5,toddler,Perlis
7,2001-01-01,0.4,toddler,Perlis
9,2002-01-01,0.5,toddler,Perlis
6,2003-01-01,0.3,toddler,Perlis
6,2004-01-01,0.3,toddler,Perlis
10,2005-01-01,0.6,toddler,Perlis
8,2006-01-01,0.5,toddler,Perlis
9,2007-01-01,0.6,toddler,Perlis
11,2008-01-01,0.7,toddler,Perlis
8,2009-01-01,0.5,toddler,Perlis
8,2010-01-01,0.5,toddler,Perlis
13,2011-01-01,0.8,toddler,Perlis
10,2012-01-01,0.6,toddler,Perlis
5,2013-01-01,0.3,toddler,Perlis
2,2014-01-01,0.1,toddler,Perlis
3,2015-01-01,0.2,toddler,Perlis
4,2016-01-01,0.2,toddler,Perlis
5,2017-01-01,0.3,toddler,Perlis
6,2018-01-01,0.3,toddler,Perlis
6,2019-01-01,0.3,toddler,Perlis
8,2020-01-01,0.5,toddler,Perlis
8,2021-01-01,0.5,toddler,Perlis
9,2022-01-01,0.6,toddler,Perlis
4,2023-01-01,0.2,toddler,Perlis
38,2000-01-01,0.3,toddler,Pulau Pinang
28,2001-01-01,0.2,toddler,Pulau Pinang
36,2002-01-01,0.3,toddler,Pulau Pinang
50,2003-01-01,0.5,toddler,Pulau Pinang
46,2004-01-01,0.4,toddler,Pulau Pinang
35,2005-01-01,0.4,toddler,Pulau Pinang
32,2006-01-01,0.3,toddler,Pulau Pinang
40,2007-01-01,0.4,toddler,Pulau Pinang
27,2008-01-01,0.3,toddler,Pulau Pinang
25,2009-01-01,0.3,toddler,Pulau Pinang
34,2010-01-01,0.4,toddler,Pulau Pinang
28,2011-01-01,0.3,toddler,Pulau Pinang
28,2012-01-01,0.3,toddler,Pulau Pinang
27,2013-01-01,0.3,toddler,Pulau Pinang
32,2014-01-01,0.4,toddler,Pulau Pinang
26,2015-01-01,0.3,toddler,Pulau Pinang
33,2016-01-01,0.4,toddler,Pulau Pinang
25,2017-01-01,0.3,toddler,Pulau Pinang
25,2018-01-01,0.3,toddler,Pulau Pinang
20,2019-01-01,0.2,toddler,Pulau Pinang
20,2020-01-01,0.2,toddler,Pulau Pinang
15,2021-01-01,0.2,toddler,Pulau Pinang
23,2022-01-01,0.3,toddler,Pulau Pinang
24,2023-01-01,0.3,toddler,Pulau Pinang
23,2000-01-01,0.1,toddler,Sabah
36,2001-01-01,0.1,toddler,Sabah
46,2002-01-01,0.2,toddler,Sabah
44,2003-01-01,0.2,toddler,Sabah
42,2004-01-01,0.2,toddler,Sabah
49,2005-01-01,0.2,toddler,Sabah
54,2006-01-01,0.2,toddler,Sabah
49,2007-01-01,0.2,toddler,Sabah
41,2008-01-01,0.2,toddler,Sabah
40,2009-01-01,0.2,toddler,Sabah
48,2010-01-01,0.2,toddler,Sabah
46,2011-01-01,0.2,toddler,Sabah
53,2012-01-01,0.2,toddler,Sabah
61,2013-01-01,0.2,toddler,Sabah
164,2014-01-01,0.7,toddler,Sabah
152,2015-01-01,0.6,toddler,Sabah
79,2016-01-01,0.3,toddler,Sabah
150,2017-01-01,0.6,toddler,Sabah
137,2018-01-01,0.6,toddler,Sabah
115,2019-01-01,0.5,toddler,Sabah
139,2020-01-01,0.6,toddler,Sabah
125,2021-01-01,0.5,toddler,Sabah
130,2022-01-01,0.6,toddler,Sabah
112,2023-01-01,0.5,toddler,Sabah
126,2000-01-01,0.6,toddler,Sarawak
88,2001-01-01,0.4,toddler,Sarawak
85,2002-01-01,0.4,toddler,Sarawak
91,2003-01-01,0.4,toddler,Sarawak
72,2004-01-01,0.4,toddler,Sarawak
89,2005-01-01,0.5,toddler,Sarawak
85,2006-01-01,0.4,toddler,Sarawak
91,2007-01-01,0.5,toddler,Sarawak
77,2008-01-01,0.4,toddler,Sarawak
83,2009-01-01,0.4,toddler,Sarawak
65,2010-01-01,0.4,toddler,Sarawak
63,2011-01-01,0.4,toddler,Sarawak
59,2012-01-01,0.3,toddler,Sarawak
74,2013-01-01,0.4,toddler,Sarawak
67,2014-01-01,0.4,toddler,Sarawak
53,2015-01-01,0.3,toddler,Sarawak
55,2016-01-01,0.3,toddler,Sarawak
58,2017-01-01,0.4,toddler,Sarawak
85,2018-01-01,0.5,toddler,Sarawak
54,2019-01-01,0.4,toddler,Sarawak
53,2020-01-01,0.4,toddler,Sarawak
43,2021-01-01,0.4,toddler,Sarawak
61,2022-01-01,0.5,toddler,Sarawak
52,2023-01-01,0.4,toddler,Sarawak
117,2000-01-01,0.3,toddler,Selangor
127,2001-01-01,0.3,toddler,Selangor
155,2002-01-01,0.4,toddler,Selangor
133,2003-01-01,0.4,toddler,Selangor
126,2004-01-01,0.4,toddler,Selangor
122,2005-01-01,0.3,toddler,Selangor
113,2006-01-01,0.3,toddler,Selangor
107,2007-01-01,0.3,toddler,Selangor
139,2008-01-01,0.4,toddler,Selangor
118,2009-01-01,0.3,toddler,Selangor
131,2010-01-01,0.3,toddler,Selangor
147,2011-01-01,0.4,toddler,Selangor
133,2012-01-01,0.4,toddler,Selangor
141,2013-01-01,0.4,toddler,Selangor
130,2014-01-01,0.3,toddler,Selangor
128,2015-01-01,0.3,toddler,Selangor
133,2016-01-01,0.3,toddler,Selangor
132,2017-01-01,0.3,toddler,Selangor
135,2018-01-01,0.3,toddler,Selangor
143,2019-01-01,0.3,toddler,Selangor
94,2020-01-01,0.2,toddler,Selangor
94,2021-01-01,0.2,toddler,Selangor
116,2022-01-01,0.3,toddler,Selangor
125,2023-01-01,0.3,toddler,Selangor
58,2000-01-01,0.6,toddler,Terengganu
60,2001-01-01,0.7,toddler,Terengganu
71,2002-01-01,0.8,toddler,Terengganu
64,2003-01-01,0.7,toddler,Terengganu
56,2004-01-01,0.6,toddler,Terengganu
45,2005-01-01,0.5,toddler,Terengganu
38,2006-01-01,0.4,toddler,Terengganu
48,2007-01-01,0.5,toddler,Terengganu
48,2008-01-01,0.5,toddler,Terengganu
46,2009-01-01,0.5,toddler,Terengganu
49,2010-01-01,0.5,toddler,Terengganu
50,2011-01-01,0.5,toddler,Terengganu
44,2012-01-01,0.5,toddler,Terengganu
49,2013-01-01,0.5,toddler,Terengganu
46,2014-01-01,0.5,toddler,Terengganu
47,2015-01-01,0.5,toddler,Terengganu
37,2016-01-01,0.4,toddler,Terengganu
37,2017-01-01,0.4,toddler,Terengganu
34,2018-01-01,0.3,toddler,Terengganu
25,2019-01-01,0.2,toddler,Terengganu
31,2020-01-01,0.4,toddler,Terengganu
32,2021-01-01,0.4,toddler,Terengganu
50,2022-01-01,0.6,toddler,Terengganu
48,2023-01-01,0.5,toddler,Terengganu
44,2000-01-01,0.3,toddler,W.P. Kuala Lumpur
36,2001-01-01,0.3,toddler,W.P. Kuala Lumpur
45,2002-01-01,0.3,toddler,W.P. Kuala Lumpur
48,2003-01-01,0.4,toddler,W.P. Kuala Lumpur
38,2004-01-01,0.3,toddler,W.P. Kuala Lumpur
32,2005-01-01,0.3,toddler,W.P. Kuala Lumpur
20,2006-01-01,0.2,toddler,W.P. Kuala Lumpur
31,2007-01-01,0.3,toddler,W.P. Kuala Lumpur
39,2008-01-01,0.4,toddler,W.P. Kuala Lumpur
31,2009-01-01,0.3,toddler,W.P. Kuala Lumpur
41,2010-01-01,0.4,toddler,W.P. Kuala Lumpur
30,2011-01-01,0.3,toddler,W.P. Kuala Lumpur
24,2012-01-01,0.2,toddler,W.P. Kuala Lumpur
30,2013-01-01,0.3,toddler,W.P. Kuala Lumpur
25,2014-01-01,0.3,toddler,W.P. Kuala Lumpur
27,2015-01-01,0.3,toddler,W.P. Kuala Lumpur
32,2016-01-01,0.3,toddler,W.P. Kuala Lumpur
30,2017-01-01,0.3,toddler,W.P. Kuala Lumpur
27,2018-01-01,0.3,toddler,W.P. Kuala Lumpur
20,2019-01-01,0.2,toddler,W.P. Kuala Lumpur
19,2020-01-01,0.2,toddler,W.P. Kuala Lumpur
14,2021-01-01,0.1,toddler,W.P. Kuala Lumpur
31,2022-01-01,0.3,toddler,W.P. Kuala Lumpur
33,2023-01-01,0.4,toddler,W.P. Kuala Lumpur
4,2000-01-01,0.5,toddler,W.P. Labuan
2,2001-01-01,0.2,toddler,W.P. Labuan
0,2002-01-01,0.0,toddler,W.P. Labuan
2,2003-01-01,0.3,toddler,W.P. Labuan
3,2004-01-01,0.4,toddler,W.P. Labuan
1,2005-01-01,0.2,toddler,W.P. Labuan
0,2006-01-01,0.0,toddler,W.P. Labuan
1,2007-01-01,0.1,toddler,W.P. Labuan
3,2008-01-01,0.4,toddler,W.P. Labuan
5,2009-01-01,0.7,toddler,W.P. Labuan
5,2010-01-01,0.7,toddler,W.P. Labuan
2,2011-01-01,0.3,toddler,W.P. Labuan
2,2012-01-01,0.3,toddler,W.P. Labuan
3,2013-01-01,0.4,toddler,W.P. Labuan
2,2014-01-01,0.3,toddler,W.P. Labuan
